node_id,latitude,longitude,street_count,n_b_roads,b_roads,junction_type,is_b_b_junction,is_b_any_junction
6632178172,6.288909,81.085578,3,1,B631,B-Other,False,True
41607686,6.152355,81.144462,3,1,B251,B-Other,False,True
617823296,7.168521,80.12413,4,1,B361,B-Other,False,True
1723172809,7.112257,80.136276,2,2,B361;B445,B-B,True,False
2151603690,6.708012,80.435528,3,2,B265;B391,B-B,True,True
1724997103,7.238624,80.601112,3,2,B154;B364,B-B,True,True
1639029741,6.275181,81.291165,3,2,B422;B500,B-B,True,True
4807150340,7.877983,80.011001,3,1,B019,B-Other,False,True
1732626427,8.936276,79.923623,3,1,B403,B-Other,False,True
6250326162,8.837309,79.968469,3,1,B403,B-Other,False,True
1980566521,7.139472,80.234568,2,2,B457;B540,B-B,True,False
1737150787,6.832253,79.885589,2,2,B32;B389,B-B,True,False
10603977997,6.830512,79.867837,4,2,B032;B32,B-B,True,True
1737436593,6.853857,79.885325,3,1,B389,B-Other,False,True
256664026,6.856541,79.890711,3,2,B389;B84,B-B,True,True
9959089701,6.864894,79.896474,3,1,B389,B-Other,False,True
129615942,6.86512,79.896572,3,1,B389,B-Other,False,True
1720491131,6.418266,81.32507,3,1,B202,B-Other,False,True
3264925450,6.418055,81.324827,3,1,B259,B-Other,False,True
3751644917,6.14303,80.81228,3,1,B387,B-Other,False,True
1931937742,6.155627,80.697895,3,3,B450;B485;B54,B-B,True,True
1932028416,6.155497,80.69953,2,2,B450;B565,B-B,True,False
1931937816,6.158325,80.705656,2,2,B450;B629,B-B,True,False
7183404785,6.147764,80.763203,3,1,B450,B-Other,False,True
7183361981,6.147763,80.763575,3,1,B463,B-Other,False,True
12109482772,6.664057,79.93083,3,1,B449,B-Other,False,True
2079537908,6.727649,80.187324,2,2,B163;B68,B-B,True,False
2079537942,6.743879,80.176735,3,1,B285,B-Other,False,True
5264919265,6.73982,80.273725,3,1,B222,B-Other,False,True
1797964284,6.97133,80.265596,3,1,B93,B-Other,False,True
1805745150,7.045888,80.253456,3,1,B445,B-Other,False,True
1809637722,7.324894,80.625651,3,1,B206,B-Other,False,True
1809637851,7.324836,80.625802,3,1,B206,B-Other,False,True
3211942093,7.357135,80.566021,3,2,B150;B206,B-B,True,True
2157080312,6.002696,80.672322,3,1,B595,B-Other,False,True
3634944563,6.113137,80.931409,3,1,B622,B-Other,False,True
49365945,6.833334,80.984703,2,2,B043;B044,B-B,True,False
1147075948,6.93709,80.990966,3,1,B043,B-Other,False,True
4142435846,7.159722,80.564882,3,1,B132,B-Other,False,True
1785705927,7.159773,80.565032,4,1,B132,B-Other,False,True
1834958043,7.034359,80.656273,3,2,B148;B412,B-B,True,True
1836349953,7.378673,80.586667,3,2,B15;B150,B-B,True,True
